school,college,major,entry_year,course_name,course_type,credits,hours,semester,total_credits
西南财经大学,特拉华数据科学学院,金融数学,2025,思想道德与法治,必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,形势与政策,必修,0.5,8,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,中国近现代史纲要,必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,形势与政策,必修,0.5,8,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,马克思主义基本原理,必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,毛泽东思想和中国特色社会主义理论体系概论,必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,习近平新时代中国特色社会主义思想概论,必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,大学生心理健康与人生发展,必修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,军事理论,必修,2.0,36,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,国家安全教育,必修,1.0,16,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,大学生职业生涯规划与创业基础,必修,2.0,36,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,英语综合技能与应用,必修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,英语综合技能与应用,必修,2.0,34,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,数学分析I(英文),必修,5.0,102,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,数学分析II(英文),必修,5.0,102,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,高等代数(英文),必修,4.0,85,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,概率论与数理统计,必修,5.0,85,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,人工智能与现代科技,必修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,体育,选修,1.0,36,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,体育,选修,1.0,36,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,演讲与问题解决,必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,大学物理导论(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,写作研讨(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,英语基础强化训练,选修,2.0,34,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,中国传统文化概论,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,社会学思想与方法,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,艺术导论,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,西方艺术史,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,艺术创作与表演,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,西方音乐史,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,英语文学与当代世界,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,英语国家与文化互鉴Mutual learning between countries and cultures合计,选修,2.04,3468,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,大模型应用,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,AI智能体产品设计,选修,2.0,34,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金融大语言模型,选修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,管理学原理(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,微观经济学(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,政治经济学,必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,会计学I(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,公司金融(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,数据结构(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,优化理论与应用(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,机器学习与商业应用(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,数据库设计与实现(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,决策分析与可视(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,商务分析顶石(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,常微分方程(英文),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金融随机分析,必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,投资学(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,顶石课程:高级公司金融(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,衍生证券及风险管理(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,宏观经济学(英),选修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,实变函数论,选修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,商业分析中的项目实践,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,会计学II(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,随机过程,必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,计量经济学,选修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,商务分析基础(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,服务与运营管理(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,商法和社会问题(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,偏微分方程(英文),选修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,数值分析(英文),选修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,市场营销学(英),选修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,中级财务管理(英),必修,3.0,51,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,国际金融(英),必修,3.0,51,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金融模型与评估(英)Financial Modeling and Valuation (English)合计,必修,3.044,51748,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,数字平台与商业模式,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,基于量化金融的投资策略,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,深度强化学习与图神经网络,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金融科技与信息安全区块链以太坊(ETA)与加密货币技术,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金融数据量化分析,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,企业数据模型搭建与分析,选修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,军事技能,必修,2.0,112,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,经济与社会发展前沿研讨,选修,1.0,8,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,名著阅读,必修,2.0,34,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,劳动教育,必修,2.0,32,1,150
西南财经大学,特拉华数据科学学院,金融数学,2025,学术论文写作与研究方法,必修,2.0,36,3,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金数中外毕业实习,必修,4.0,0,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,金数中外毕业论文,必修,6.0,0,2,150
西南财经大学,特拉华数据科学学院,金融数学,2025,"创新、创业与社会实践Innovation, Entrepreneurship and Social Practice合计",必修,2.021,0222,2,150
